P,T,TNAME,RSV,ST,F,L,DOC,PLC,P1,P2,P3,P4,P5,PTYP,LOCKED_ABOVE,LOCKED_BELOW,LOCKED_LEFT,LOCKED_RIGHT,S1,S2,LAST_USE
2.71,10960,9.6-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.72,1272,UNC1_4S-A-53-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.73,10980,9.8-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.74,1236,M6D-A-56-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.75,11020,10.2-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.76,1235,M5D-A-45.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.77,11040,10.4-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.78,1234,M4D-A-41.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.79,11060,10.6-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.8,838,8L-A-64-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.81,11080,10.8-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.83,11100,11-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.84,742,12L-A-75-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.85,11120,11.2-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.86,740,10L-A-59-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.87,11150,11.5-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.89,11180,11.8-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.9,840,10L-A-60-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.91,11200,12-A-80-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.93,11220,12.2-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.95,11250,12.5-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.97,11300,13-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.99,11350,13.5-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.101,11380,13.8-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.103,11400,14-A-90-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.105,11520,15.2-A-100-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.107,11900,19-A-103-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.109,2038,8L-A-60-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.111,2042,12L-A-60-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.113,2046,16L-A-100-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.115,2008,8S-A-30-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.117,2012,12S-A-40-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.119,2016,16S-A-50-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.121,2015,1.5K-AL-25-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.123,2292,12ER2L-A-75-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.125,2268,8ER2L-A-65-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.127,2252,12ER1L-A-75-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.129,2248,8ER1L-A-65-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.131,2246,6ER1L-A-45-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.133,704,4S-A-25-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.134,10300,3-A-35.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.135,10120,1.2-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.136,3805,0.5X4-A-20-38,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.137,10680,6.8-A-60-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.138,2212,12ER1S-A-40-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.139,10160,1.6-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.14,2228,8ER2S-A-30-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.141,10210,2.1-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.142,2232,12ER2S-A-40-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.143,2206,6ER1S-A-27-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.144,2236,16ER2S-A-48-22,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.145,10500,5-A-52-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.146,1402,2H7-A-25-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.147,10220,2.2-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.148,1403,3H7-A-40-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.15,1404,4H7-A-40-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.151,3802,0.2X0.5-A-20-38,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.152,1405,5H7-A-40-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.153,10260,2.6-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.154,1406,6H7-A-40-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.155,10280,2.8-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.156,1233,M3D-A-30-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.157,10295,2.95-A-29-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.158,1232,M2D-A-20-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.159,723,3-AL-50-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.16,1226,M2.5D-A-25-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.161,10320,3.2-A-36-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.162,10180,1.8-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.163,10321,3.2-AL-37-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.164,836,6L-A-45-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.165,712,12S-A-40-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.166,804,4S-A-25-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.167,604,4-A-22-06,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.168,751,1.5S-A-20-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.169,10360,3.6-A-36.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.17,703,3S-A-25-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.171,10380,3.8-A-44.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.172,753,3.5S-A-25-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.173,10400,4-A-44.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.174,752,2.5S-A-22-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.175,10420,4.2-A-44.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.176,2003,3S-A-23-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.177,10440,4.4-A-44.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.178,2006,6S-A-28-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.179,10460,4.6-A-44.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.18,735,5L-A-41-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.181,10480,4.8-A-50-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.182,10200,2-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.183,10340,3.4-A-36.5-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.184,10240,2.4-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.185,10520,5.2-A-52-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.186,10250,2.5-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.187,10540,5.4-A-52-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.189,10560,5.6-A-52-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.191,10580,5.8-A-52-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
